Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-45,1.5834229221288785,,,End-of-Day-Close-Price-Week-Ago-45,82.7200,Stock-Previous-Quarter-45,118.5200,Peer-1-Previous-Quarter-45,80.3900,Peer-2-Previous-Quarter-45,230.8100,Peer-3-Previous-Quarter-45,45.2400,Peer-4-Previous-Quarter-48,66.1300
Stock-Beta-Week-46,1.653771332774392,,,End-of-Day-Close-Price-Week-Ago-46,87.3100,Stock-Previous-Quarter-46,118.1900,Peer-1-Previous-Quarter-46,82.4200,Peer-2-Previous-Quarter-46,234.1500,Peer-3-Previous-Quarter-46,43.5100,Peer-4-Previous-Quarter-47,64.2200
Stock-Beta-Week-47,1.623901747852918,,,End-of-Day-Close-Price-Week-Ago-47,71.8700,Stock-Previous-Quarter-47,118.9950,Peer-1-Previous-Quarter-47,81.8600,Peer-2-Previous-Quarter-47,229.8300,Peer-3-Previous-Quarter-47,42.4400,Peer-4-Previous-Quarter-46,66.3600
Stock-Beta-Week-48,1.6831218142526965,,,End-of-Day-Close-Price-Week-Ago-48,92.0600,Stock-Previous-Quarter-48,119.4800,Peer-1-Previous-Quarter-48,81.5100,Peer-2-Previous-Quarter-48,229.3600,Peer-3-Previous-Quarter-48,43.9800,Peer-4-Previous-Quarter-45,66.5400
Stock-Beta-Week-49,1.573173668571301,,,End-of-Day-Close-Price-Week-Ago-49,96.2400,Stock-Previous-Quarter-49,120.7100,Peer-1-Previous-Quarter-49,81.8900,Peer-2-Previous-Quarter-49,226.3800,Peer-3-Previous-Quarter-49,43.3000,Peer-4-Previous-Quarter-44,69.3300
Stock-Beta-Week-50,1.5972819306181276,,,End-of-Day-Close-Price-Week-Ago-50,99.7700,Stock-Previous-Quarter-50,120.2000,Peer-1-Previous-Quarter-50,82.4600,Peer-2-Previous-Quarter-50,224.9900,Peer-3-Previous-Quarter-50,40.7100,Peer-4-Previous-Quarter-43,70.2400
Stock-Beta-Week-51,1.6717583345435056,,,End-of-Day-Close-Price-Week-Ago-51,103.4600,Stock-Previous-Quarter-51,117.7200,Peer-1-Previous-Quarter-51,82.6500,Peer-2-Previous-Quarter-51,223.4100,Peer-3-Previous-Quarter-51,39.3600,Peer-4-Previous-Quarter-42,70.8100
Stock-Beta-Week-52,1.6161898862350996,,,End-of-Day-Close-Price-Week-Ago-52,103.0800,Stock-Previous-Quarter-52,115.7800,Peer-1-Previous-Quarter-52,81.3000,Peer-2-Previous-Quarter-52,224.5800,Peer-3-Previous-Quarter-52,38.9200,Peer-4-Previous-Quarter-41,69.1000
,,,,,,Stock-Previous-Quarter-53,115.7300,Peer-1-Previous-Quarter-53,79.1700,Peer-2-Previous-Quarter-53,226.1700,Peer-3-Previous-Quarter-53,37.6400,Peer-4-Previous-Quarter-40,69.1100
,,,,,,Stock-Previous-Quarter-54,115.7500,Peer-1-Previous-Quarter-54,79.5400,Peer-2-Previous-Quarter-54,221.8400,Peer-3-Previous-Quarter-54,37.2400,Peer-4-Previous-Quarter-39,67.7000
,,,,,,Stock-Previous-Quarter-55,117.3800,Peer-1-Previous-Quarter-55,79.4100,Peer-2-Previous-Quarter-55,222.9300,Peer-3-Previous-Quarter-55,38.4100,Peer-4-Previous-Quarter-38,67.9300
