Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-52,1.2071930445734667,,,End-of-Day-Close-Price-Week-Ago-52,47.5800,Stock-Previous-Quarter-52,39.7500,Peer-1-Previous-Quarter-52,40.4200,Peer-2-Previous-Quarter-52,392.0300,Peer-3-Previous-Quarter-52,19.1600,Peer-4-Previous-Quarter-41,143.8100
,,,,,,Stock-Previous-Quarter-53,40.2600,Peer-1-Previous-Quarter-53,39.6300,Peer-2-Previous-Quarter-53,396.0100,Peer-3-Previous-Quarter-53,19.1000,Peer-4-Previous-Quarter-40,142.8500
,,,,,,Stock-Previous-Quarter-54,39.3700,Peer-1-Previous-Quarter-54,40.0000,Peer-2-Previous-Quarter-54,396.1100,Peer-3-Previous-Quarter-54,19.2300,Peer-4-Previous-Quarter-39,143.7000
,,,,,,Stock-Previous-Quarter-55,38.1400,Peer-1-Previous-Quarter-55,40.0600,Peer-2-Previous-Quarter-55,384.2000,Peer-3-Previous-Quarter-55,18.9400,Peer-4-Previous-Quarter-38,146.5800
,,,,,,Stock-Previous-Quarter-56,38.2800,Peer-1-Previous-Quarter-56,39.9700,Peer-2-Previous-Quarter-56,381.8600,Peer-3-Previous-Quarter-56,19.0200,Peer-4-Previous-Quarter-37,147.4900
,,,,,,Stock-Previous-Quarter-57,38.9400,Peer-1-Previous-Quarter-57,40.8500,Peer-2-Previous-Quarter-57,388.3500,Peer-3-Previous-Quarter-57,19.3300,Peer-4-Previous-Quarter-36,147.5500
,,,,,,Stock-Previous-Quarter-58,38.9300,Peer-1-Previous-Quarter-58,41.8600,Peer-2-Previous-Quarter-58,388.4700,Peer-3-Previous-Quarter-58,19.5500,Peer-4-Previous-Quarter-35,146.7300
,,,,,,Stock-Previous-Quarter-59,38.6900,Peer-1-Previous-Quarter-59,41.8100,Peer-2-Previous-Quarter-59,385.4700,Peer-3-Previous-Quarter-59,19.4100,Peer-4-Previous-Quarter-34,149.3500
,,,,,,Stock-Previous-Quarter-60,37.9500,Peer-1-Previous-Quarter-60,41.1800,Peer-2-Previous-Quarter-60,378.4300,Peer-3-Previous-Quarter-60,19.4100,Peer-4-Previous-Quarter-33,147.0900
,,,,,,Stock-Previous-Quarter-61,37.8800,Peer-1-Previous-Quarter-61,41.9500,Peer-2-Previous-Quarter-61,374.6400,Peer-3-Previous-Quarter-61,19.4700,Peer-4-Previous-Quarter-32,147.3300
