Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-51,0.9053288468235315,,,End-of-Day-Close-Price-Week-Ago-51,606.5500,Stock-Previous-Quarter-51,794.4000,Peer-1-Previous-Quarter-51,2341.5600,Peer-2-Previous-Quarter-51,147.2700,Peer-3-Previous-Quarter-51,162.7000,Peer-4-Previous-Quarter-42,232.4200
Stock-Beta-Week-52,0.9053288468235315,,,End-of-Day-Close-Price-Week-Ago-52,707.7700,Stock-Previous-Quarter-52,793.3800,Peer-1-Previous-Quarter-52,2318.9600,Peer-2-Previous-Quarter-52,148.6200,Peer-3-Previous-Quarter-52,161.7400,Peer-4-Previous-Quarter-41,232.7300
,,,,,,Stock-Previous-Quarter-53,793.7300,Peer-1-Previous-Quarter-53,2326.6100,Peer-2-Previous-Quarter-53,147.4900,Peer-3-Previous-Quarter-53,161.3700,Peer-4-Previous-Quarter-40,231.2400
,,,,,,Stock-Previous-Quarter-54,805.0800,Peer-1-Previous-Quarter-54,2327.5400,Peer-2-Previous-Quarter-54,143.2700,Peer-3-Previous-Quarter-54,166.2000,Peer-4-Previous-Quarter-39,233.7600
,,,,,,Stock-Previous-Quarter-55,809.7400,Peer-1-Previous-Quarter-55,2344.9300,Peer-2-Previous-Quarter-55,146.9800,Peer-3-Previous-Quarter-55,168.5400,Peer-4-Previous-Quarter-38,233.0000
,,,,,,Stock-Previous-Quarter-56,815.4700,Peer-1-Previous-Quarter-56,2355.8800,Peer-2-Previous-Quarter-56,149.2100,Peer-3-Previous-Quarter-56,169.5600,Peer-4-Previous-Quarter-37,237.1700
,,,,,,Stock-Previous-Quarter-57,810.8500,Peer-1-Previous-Quarter-57,2368.8800,Peer-2-Previous-Quarter-57,151.0300,Peer-3-Previous-Quarter-57,168.9500,Peer-4-Previous-Quarter-36,237.9900
,,,,,,Stock-Previous-Quarter-58,825.5000,Peer-1-Previous-Quarter-58,2363.0000,Peer-2-Previous-Quarter-58,152.1900,Peer-3-Previous-Quarter-58,169.1600,Peer-4-Previous-Quarter-35,239.6100
,,,,,,Stock-Previous-Quarter-59,826.8800,Peer-1-Previous-Quarter-59,2433.2300,Peer-2-Previous-Quarter-59,153.2800,Peer-3-Previous-Quarter-59,169.7500,Peer-4-Previous-Quarter-34,236.9800
,,,,,,Stock-Previous-Quarter-60,828.7100,Peer-1-Previous-Quarter-60,2435.5200,Peer-2-Previous-Quarter-60,151.9700,Peer-3-Previous-Quarter-60,170.4100,Peer-4-Previous-Quarter-33,239.0000
,,,,,,Stock-Previous-Quarter-61,842.5200,Peer-1-Previous-Quarter-61,2441.7500,Peer-2-Previous-Quarter-61,152.2600,Peer-3-Previous-Quarter-61,170.8400,Peer-4-Previous-Quarter-32,234.0400
,,,,,,Stock-Previous-Quarter-62,834.2900,Peer-1-Previous-Quarter-62,2486.6400,Peer-2-Previous-Quarter-62,154.0200,Peer-3-Previous-Quarter-62,168.5700,Peer-4-Previous-Quarter-31,232.8100
,,,,,,Stock-Previous-Quarter-63,826.7400,Peer-1-Previous-Quarter-63,2416.5700,Peer-2-Previous-Quarter-63,153.1600,Peer-3-Previous-Quarter-63,171.9400,Peer-4-Previous-Quarter-30,233.0000
,,,,,,Stock-Previous-Quarter-64,840.7200,Peer-1-Previous-Quarter-64,2445.4600,Peer-2-Previous-Quarter-64,151.8900,Peer-3-Previous-Quarter-64,169.8100,Peer-4-Previous-Quarter-29,230.5400
,,,,,,Stock-Previous-Quarter-65,844.0300,Peer-1-Previous-Quarter-65,2431.0600,Peer-2-Previous-Quarter-65,151.5400,Peer-3-Previous-Quarter-65,173.5100,Peer-4-Previous-Quarter-28,234.4300
,,,,,,Stock-Previous-Quarter-66,843.6600,Peer-1-Previous-Quarter-66,2466.1800,Peer-2-Previous-Quarter-66,147.0300,Peer-3-Previous-Quarter-66,175.2400,Peer-4-Previous-Quarter-27,233.2600
,,,,,,Stock-Previous-Quarter-67,844.6200,Peer-1-Previous-Quarter-67,2464.3800,Peer-2-Previous-Quarter-67,146.3100,Peer-3-Previous-Quarter-67,175.1900,Peer-4-Previous-Quarter-26,225.7600
,,,,,,Stock-Previous-Quarter-68,843.8400,Peer-1-Previous-Quarter-68,2461.6300,Peer-2-Previous-Quarter-68,145.3000,Peer-3-Previous-Quarter-68,177.2900,Peer-4-Previous-Quarter-25,228.4900
,,,,,,Stock-Previous-Quarter-69,833.5500,Peer-1-Previous-Quarter-69,2454.3200,Peer-2-Previous-Quarter-69,145.0200,Peer-3-Previous-Quarter-69,176.5700,Peer-4-Previous-Quarter-24,230.1600
,,,,,,Stock-Previous-Quarter-70,823.7800,Peer-1-Previous-Quarter-70,2430.6500,Peer-2-Previous-Quarter-70,143.2800,Peer-3-Previous-Quarter-70,174.9900,Peer-4-Previous-Quarter-23,228.6900
,,,,,,Stock-Previous-Quarter-71,833.6200,Peer-1-Previous-Quarter-71,2403.8600,Peer-2-Previous-Quarter-71,142.0800,Peer-3-Previous-Quarter-71,177.9600,Peer-4-Previous-Quarter-22,228.5300
,,,,,,Stock-Previous-Quarter-72,823.6300,Peer-1-Previous-Quarter-72,2430.4800,Peer-2-Previous-Quarter-72,142.2900,Peer-3-Previous-Quarter-72,175.6300,Peer-4-Previous-Quarter-21,228.4500
,,,,,,Stock-Previous-Quarter-73,816.4300,Peer-1-Previous-Quarter-73,2384.1500,Peer-2-Previous-Quarter-73,139.3800,Peer-3-Previous-Quarter-73,175.8700,Peer-4-Previous-Quarter-20,226.9100
,,,,,,Stock-Previous-Quarter-74,811.7700,Peer-1-Previous-Quarter-74,2379.1700,Peer-2-Previous-Quarter-74,140.9000,Peer-3-Previous-Quarter-74,176.8100,Peer-4-Previous-Quarter-19,227.2400
,,,,,,Stock-Previous-Quarter-75,807.2000,Peer-1-Previous-Quarter-75,2380.4500,Peer-2-Previous-Quarter-75,140.1600,Peer-3-Previous-Quarter-75,178.7600,Peer-4-Previous-Quarter-18,227.9300
,,,,,,Stock-Previous-Quarter-76,814.5000,Peer-1-Previous-Quarter-76,2358.5000,Peer-2-Previous-Quarter-76,143.2300,Peer-3-Previous-Quarter-76,179.0800,Peer-4-Previous-Quarter-17,229.6500
,,,,,,Stock-Previous-Quarter-77,818.7600,Peer-1-Previous-Quarter-77,2360.4700,Peer-2-Previous-Quarter-77,143.4600,Peer-3-Previous-Quarter-77,178.0500,Peer-4-Previous-Quarter-16,231.4100
,,,,,,Stock-Previous-Quarter-78,834.3500,Peer-1-Previous-Quarter-78,2393.4600,Peer-2-Previous-Quarter-78,145.6800,Peer-3-Previous-Quarter-78,182.0200,Peer-4-Previous-Quarter-15,235.3200
,,,,,,Stock-Previous-Quarter-79,827.8000,Peer-1-Previous-Quarter-79,2451.9500,Peer-2-Previous-Quarter-79,145.9300,Peer-3-Previous-Quarter-79,182.2600,Peer-4-Previous-Quarter-14,232.4400
,,,,,,Stock-Previous-Quarter-80,836.3600,Peer-1-Previous-Quarter-80,2454.9900,Peer-2-Previous-Quarter-80,145.9000,Peer-3-Previous-Quarter-80,185.6300,Peer-4-Previous-Quarter-13,232.1900
,,,,,,Stock-Previous-Quarter-81,828.7900,Peer-1-Previous-Quarter-81,2488.9000,Peer-2-Previous-Quarter-81,146.5900,Peer-3-Previous-Quarter-81,182.8600,Peer-4-Previous-Quarter-12,235.6700
,,,,,,Stock-Previous-Quarter-82,829.6600,Peer-1-Previous-Quarter-82,2455.2600,Peer-2-Previous-Quarter-82,146.6500,Peer-3-Previous-Quarter-82,182.6600,Peer-4-Previous-Quarter-11,228.8400
,,,,,,Stock-Previous-Quarter-83,843.1000,Peer-1-Previous-Quarter-83,2456.9200,Peer-2-Previous-Quarter-83,145.5300,Peer-3-Previous-Quarter-83,184.9200,Peer-4-Previous-Quarter-10,226.6100
,,,,,,Stock-Previous-Quarter-84,858.4100,Peer-1-Previous-Quarter-84,2526.9200,Peer-2-Previous-Quarter-84,148.3600,Peer-3-Previous-Quarter-84,187.2800,Peer-4-Previous-Quarter-9,227.2100
,,,,,,Stock-Previous-Quarter-85,857.1800,Peer-1-Previous-Quarter-85,2571.5900,Peer-2-Previous-Quarter-85,153.0300,Peer-3-Previous-Quarter-85,184.9000,Peer-4-Previous-Quarter-8,229.7700
