Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
Stock-Beta-Week-49,2.952481845559797,,,End-of-Day-Close-Price-Week-Ago-49,57.7500,Stock-Previous-Quarter-49,44.3900,Peer-1-Previous-Quarter-49,75.1600,Peer-2-Previous-Quarter-49,198.0200,Peer-3-Previous-Quarter-49,133.9600,Peer-4-Previous-Quarter-44,63.1700
Stock-Beta-Week-50,3.0551855592078208,,,End-of-Day-Close-Price-Week-Ago-50,58.0800,Stock-Previous-Quarter-50,42.7400,Peer-1-Previous-Quarter-50,74.9100,Peer-2-Previous-Quarter-50,193.2300,Peer-3-Previous-Quarter-50,131.1700,Peer-4-Previous-Quarter-43,62.4100
Stock-Beta-Week-51,3.0210951615650554,,,End-of-Day-Close-Price-Week-Ago-51,58.4400,Stock-Previous-Quarter-51,42.5100,Peer-1-Previous-Quarter-51,74.7000,Peer-2-Previous-Quarter-51,192.6500,Peer-3-Previous-Quarter-51,130.7000,Peer-4-Previous-Quarter-42,59.9800
Stock-Beta-Week-52,3.0311679776799605,,,End-of-Day-Close-Price-Week-Ago-52,60.9700,Stock-Previous-Quarter-52,42.7500,Peer-1-Previous-Quarter-52,76.5300,Peer-2-Previous-Quarter-52,191.9300,Peer-3-Previous-Quarter-52,131.0300,Peer-4-Previous-Quarter-41,62.1300
,,,,,,Stock-Previous-Quarter-53,39.4800,Peer-1-Previous-Quarter-53,70.0700,Peer-2-Previous-Quarter-53,178.3900,Peer-3-Previous-Quarter-53,122.9000,Peer-4-Previous-Quarter-40,60.2500
,,,,,,Stock-Previous-Quarter-54,38.5700,Peer-1-Previous-Quarter-54,67.7100,Peer-2-Previous-Quarter-54,167.6500,Peer-3-Previous-Quarter-54,117.5800,Peer-4-Previous-Quarter-39,60.1800
,,,,,,Stock-Previous-Quarter-55,40.4900,Peer-1-Previous-Quarter-55,70.5300,Peer-2-Previous-Quarter-55,173.7700,Peer-3-Previous-Quarter-55,122.0400,Peer-4-Previous-Quarter-38,59.8200
,,,,,,Stock-Previous-Quarter-56,41.0300,Peer-1-Previous-Quarter-56,71.5900,Peer-2-Previous-Quarter-56,177.0200,Peer-3-Previous-Quarter-56,120.2800,Peer-4-Previous-Quarter-37,60.1200
,,,,,,Stock-Previous-Quarter-57,40.6700,Peer-1-Previous-Quarter-57,71.0000,Peer-2-Previous-Quarter-57,168.9900,Peer-3-Previous-Quarter-57,120.2400,Peer-4-Previous-Quarter-36,62.0700
,,,,,,Stock-Previous-Quarter-58,39.3100,Peer-1-Previous-Quarter-58,70.8000,Peer-2-Previous-Quarter-58,165.1100,Peer-3-Previous-Quarter-58,121.5900,Peer-4-Previous-Quarter-35,61.8400
,,,,,,Stock-Previous-Quarter-59,38.4200,Peer-1-Previous-Quarter-59,69.0600,Peer-2-Previous-Quarter-59,160.0100,Peer-3-Previous-Quarter-59,118.3900,Peer-4-Previous-Quarter-34,60.0500
,,,,,,Stock-Previous-Quarter-60,37.0100,Peer-1-Previous-Quarter-60,68.0500,Peer-2-Previous-Quarter-60,159.0900,Peer-3-Previous-Quarter-60,116.9100,Peer-4-Previous-Quarter-33,59.0100
,,,,,,Stock-Previous-Quarter-61,36.9200,Peer-1-Previous-Quarter-61,67.2400,Peer-2-Previous-Quarter-61,156.2800,Peer-3-Previous-Quarter-61,114.6100,Peer-4-Previous-Quarter-32,57.6000
,,,,,,Stock-Previous-Quarter-62,36.1000,Peer-1-Previous-Quarter-62,63.9600,Peer-2-Previous-Quarter-62,148.5900,Peer-3-Previous-Quarter-62,115.3400,Peer-4-Previous-Quarter-31,56.9800
,,,,,,Stock-Previous-Quarter-63,34.6800,Peer-1-Previous-Quarter-63,62.3300,Peer-2-Previous-Quarter-63,142.6500,Peer-3-Previous-Quarter-63,109.4000,Peer-4-Previous-Quarter-30,58.7500
,,,,,,Stock-Previous-Quarter-64,36.6100,Peer-1-Previous-Quarter-64,64.6600,Peer-2-Previous-Quarter-64,147.4900,Peer-3-Previous-Quarter-64,111.5300,Peer-4-Previous-Quarter-29,58.1800
,,,,,,Stock-Previous-Quarter-65,35.9900,Peer-1-Previous-Quarter-65,64.0200,Peer-2-Previous-Quarter-65,143.1500,Peer-3-Previous-Quarter-65,107.2000,Peer-4-Previous-Quarter-28,57.9000
,,,,,,Stock-Previous-Quarter-66,37.0400,Peer-1-Previous-Quarter-66,64.7700,Peer-2-Previous-Quarter-66,146.1400,Peer-3-Previous-Quarter-66,109.9400,Peer-4-Previous-Quarter-27,57.8200
,,,,,,Stock-Previous-Quarter-67,36.7600,Peer-1-Previous-Quarter-67,64.8200,Peer-2-Previous-Quarter-67,146.0300,Peer-3-Previous-Quarter-67,109.8400,Peer-4-Previous-Quarter-26,57.3400
,,,,,,Stock-Previous-Quarter-68,35.3800,Peer-1-Previous-Quarter-68,62.5700,Peer-2-Previous-Quarter-68,140.3600,Peer-3-Previous-Quarter-68,106.9700,Peer-4-Previous-Quarter-25,56.4300
,,,,,,Stock-Previous-Quarter-69,36.0500,Peer-1-Previous-Quarter-69,63.2700,Peer-2-Previous-Quarter-69,141.2100,Peer-3-Previous-Quarter-69,109.4600,Peer-4-Previous-Quarter-24,56.7800
,,,,,,Stock-Previous-Quarter-70,37.1900,Peer-1-Previous-Quarter-70,64.5200,Peer-2-Previous-Quarter-70,152.0600,Peer-3-Previous-Quarter-70,110.8400,Peer-4-Previous-Quarter-23,56.8300
,,,,,,Stock-Previous-Quarter-71,37.0700,Peer-1-Previous-Quarter-71,63.8600,Peer-2-Previous-Quarter-71,153.3900,Peer-3-Previous-Quarter-71,110.6800,Peer-4-Previous-Quarter-22,55.5600
,,,,,,Stock-Previous-Quarter-72,38.8700,Peer-1-Previous-Quarter-72,67.6800,Peer-2-Previous-Quarter-72,165.0100,Peer-3-Previous-Quarter-72,114.5900,Peer-4-Previous-Quarter-21,56.8900
,,,,,,Stock-Previous-Quarter-73,37.8100,Peer-1-Previous-Quarter-73,65.0500,Peer-2-Previous-Quarter-73,160.8500,Peer-3-Previous-Quarter-73,112.1000,Peer-4-Previous-Quarter-20,55.6000
,,,,,,Stock-Previous-Quarter-74,38.4000,Peer-1-Previous-Quarter-74,64.5900,Peer-2-Previous-Quarter-74,162.5400,Peer-3-Previous-Quarter-74,112.6100,Peer-4-Previous-Quarter-19,54.9300
,,,,,,Stock-Previous-Quarter-75,38.9900,Peer-1-Previous-Quarter-75,65.4100,Peer-2-Previous-Quarter-75,165.7100,Peer-3-Previous-Quarter-75,114.5300,Peer-4-Previous-Quarter-18,53.9000
,,,,,,Stock-Previous-Quarter-76,40.0200,Peer-1-Previous-Quarter-76,66.5300,Peer-2-Previous-Quarter-76,169.5200,Peer-3-Previous-Quarter-76,116.6400,Peer-4-Previous-Quarter-17,54.2700
,,,,,,Stock-Previous-Quarter-77,42.6500,Peer-1-Previous-Quarter-77,68.9300,Peer-2-Previous-Quarter-77,176.7400,Peer-3-Previous-Quarter-77,121.7100,Peer-4-Previous-Quarter-16,54.1300
,,,,,,Stock-Previous-Quarter-78,43.5100,Peer-1-Previous-Quarter-78,71.6500,Peer-2-Previous-Quarter-78,180.7200,Peer-3-Previous-Quarter-78,123.4900,Peer-4-Previous-Quarter-15,56.5700
,,,,,,Stock-Previous-Quarter-79,42.5800,Peer-1-Previous-Quarter-79,70.6700,Peer-2-Previous-Quarter-79,175.3500,Peer-3-Previous-Quarter-79,121.2100,Peer-4-Previous-Quarter-14,56.6600
,,,,,,Stock-Previous-Quarter-80,41.5000,Peer-1-Previous-Quarter-80,68.5900,Peer-2-Previous-Quarter-80,170.0100,Peer-3-Previous-Quarter-80,119.0500,Peer-4-Previous-Quarter-13,57.6400
,,,,,,Stock-Previous-Quarter-81,41.7000,Peer-1-Previous-Quarter-81,70.4700,Peer-2-Previous-Quarter-81,171.6900,Peer-3-Previous-Quarter-81,121.7500,Peer-4-Previous-Quarter-12,58.6300
,,,,,,Stock-Previous-Quarter-82,40.4100,Peer-1-Previous-Quarter-82,70.1400,Peer-2-Previous-Quarter-82,161.2000,Peer-3-Previous-Quarter-82,118.2100,Peer-4-Previous-Quarter-11,58.1700
,,,,,,Stock-Previous-Quarter-83,41.0900,Peer-1-Previous-Quarter-83,70.2700,Peer-2-Previous-Quarter-83,159.8700,Peer-3-Previous-Quarter-83,119.7800,Peer-4-Previous-Quarter-10,61.3400
,,,,,,Stock-Previous-Quarter-84,42.9700,Peer-1-Previous-Quarter-84,73.6200,Peer-2-Previous-Quarter-84,166.1000,Peer-3-Previous-Quarter-84,123.3000,Peer-4-Previous-Quarter-9,61.1600
,,,,,,Stock-Previous-Quarter-85,44.7200,Peer-1-Previous-Quarter-85,74.9800,Peer-2-Previous-Quarter-85,168.7600,Peer-3-Previous-Quarter-85,125.6600,Peer-4-Previous-Quarter-8,59.7900
,,,,,,Stock-Previous-Quarter-86,45.4000,Peer-1-Previous-Quarter-86,77.4800,Peer-2-Previous-Quarter-86,171.3500,Peer-3-Previous-Quarter-86,126.8100,Peer-4-Previous-Quarter-7,59.2800
,,,,,,Stock-Previous-Quarter-87,46.5200,Peer-1-Previous-Quarter-87,77.6300,Peer-2-Previous-Quarter-87,169.2300,Peer-3-Previous-Quarter-87,126.4900,Peer-4-Previous-Quarter-6,63.5400
,,,,,,Stock-Previous-Quarter-88,42.9100,Peer-1-Previous-Quarter-88,73.3900,Peer-2-Previous-Quarter-88,156.3900,Peer-3-Previous-Quarter-88,118.3800,Peer-4-Previous-Quarter-5,63.0900
,,,,,,Stock-Previous-Quarter-89,42.6700,Peer-1-Previous-Quarter-89,73.1900,Peer-2-Previous-Quarter-89,158.2700,Peer-3-Previous-Quarter-89,119.5400,Peer-4-Previous-Quarter-4,60.3400
,,,,,,Stock-Previous-Quarter-90,42.9800,Peer-1-Previous-Quarter-90,75.1400,Peer-2-Previous-Quarter-90,162.7000,Peer-3-Previous-Quarter-90,123.4500,Peer-4-Previous-Quarter-3,59.6100
